Dataset Name,Algorithm Name,Cross Validation,Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training Time,Inference Time
abalon.csv,DBRF,0,n = 5. ests = 56. criterion = gini.,0.377990431,0.376389235,0.311904988,0.37794842100000003,0.5470945979999999,0.373574477,485.34375,36.33373206
abalon.csv,DBRF,0,n = 7. ests = 87. criterion = gini.,0.5406698564593302,0.5389211886304909,0.2304614504260437,0.5292743441462607,0.712905143817673,0.549679956307119,985.5625,77.48953349282297
abalon.csv,DBRF,1,n = 3. ests = 95. criterion = gini.,0.588516746,0.578476497,0.20394795300000002,0.5798328,0.729921782,0.574761607,483.0625,36.85705742
abalon.csv,DBRF,2,n = 5. ests = 47. criterion = gini.,0.3971291870000001,0.38372088600000004,0.304973308,0.382818125,0.5375843810000001,0.3724239720000001,409.40625,30.35287081
abalon.csv,DBRF,3,n = 3. ests = 14. criterion = gini.,0.41148325399999996,0.40988206899999996,0.295088523,0.413153139,0.576438979,0.41749631,83.671875,6.242523922999999
abalon.csv,DBRF,4,n = 3. ests = 28. criterion = gini.,0.38277512,0.374425002,0.309135951,0.37418048299999995,0.553699436,0.384343042,152.515625,11.17673445
abalon.csv,DBRF,5,n = 2. ests = 51. criterion = gini.,0.37081339700000004,0.362502141,0.31766942600000003,0.3614920820000001,0.530479699,0.36530888799999994,177.96875,13.90550239
abalon.csv,DBRF,6,n = 10. ests = 65. criterion = gini.,0.563549161,0.549976495,0.216719241,0.548059669,0.7135432009999999,0.567167994,1116.3125,84.79466427
abalon.csv,DBRF,7,n = 5. ests = 96. criterion = gini.,0.5611510789999999,0.559069747,0.220262262,0.5537625860000001,0.705959674,0.533403434,811.109375,63.17446043
abalon.csv,DBRF,8,n = 2. ests = 99. criterion = gini.,0.527577938,0.546902655,0.23938632699999998,0.5398724420000001,0.7058046040000001,0.534639248,342.90625,26.07913669
acute-inflammation.csv,DBRF,0,n = 6. ests = 64. criterion = gini.,0.6666666666666666,0.5,0.25,0.5,0.625,0.4166666666666666,6.34375,15.625
acute-inflammation.csv,DBRF,1,n = 9. ests = 67. criterion = gini.,0.5833333333333334,0.4,0.2857142857142857,0.5,0.5571428571428572,0.45,10.1875,23.4375
acute-inflammation.csv,DBRF,2,n = 5. ests = 28. criterion = gini.,0.75,0.8333333333333334,0.3333333333333333,0.7142857142857143,0.7500000000000002,0.6785714285714286,2.4375,6.510416666666666
acute-inflammation.csv,DBRF,3,n = 1. ests = 98. criterion = gini.,1.0,1.0,0.0,1.0,1.0,1.0,1.625,6.510416666666666
acute-inflammation.csv,DBRF,4,n = 6. ests = 88. criterion = gini.,0.9166666666666666,0.8571428571428571,0.0,1.0,0.9285714285714286,0.9404761904761904,8.90625,18.229166666666664
acute-inflammation.csv,DBRF,5,n = 6. ests = 21. criterion = gini.,0.6666666666666666,0.625,0.25,0.8333333333333334,0.6875,0.7708333333333334,2.34375,5.208333333333333
acute-inflammation.csv,DBRF,6,n = 4. ests = 82. criterion = gini.,0.5833333333333334,0.6,0.42857142857142855,0.5,0.5857142857142856,0.4666666666666667,5.703125,13.020833333333332
acute-inflammation.csv,DBRF,7,n = 1. ests = 81. criterion = gini.,1.0,1.0,0.0,1.0,1.0,1.0,1.484375,3.90625
acute-inflammation.csv,DBRF,8,n = 3. ests = 19. criterion = gini.,0.9166666666666666,0.8,0.0,1.0,0.9,0.8833333333333333,1.046875,2.6041666666666665
acute-inflammation.csv,DBRF,9,n = 2. ests = 44. criterion = gini.,0.8333333333333334,0.5,0.0,1.0,0.75,0.6666666666666666,1.515625,5.208333333333333
acute-nephritis.csv,DBRF,0,n = 4. ests = 23. criterion = gini.,1.0,1.0,0.0,1.0,1.0,1.0,1.765625,5.208333333333333
acute-nephritis.csv,DBRF,1,n = 5. ests = 13. criterion = gini.,1.0,1.0,0.0,1.0,1.0,1.0,1.28125,5.208333333333333
acute-nephritis.csv,DBRF,2,n = 3. ests = 26. criterion = gini.,0.6666666666666666,1.0,0.5,0.5,0.75,0.5,1.453125,3.90625
acute-nephritis.csv,DBRF,3,n = 2. ests = 62. criterion = gini.,0.75,1.0,0.3333333333333333,0.5,0.8333333333333334,0.5,2.40625,7.8125
acute-nephritis.csv,DBRF,4,n = 7. ests = 67. criterion = gini.,0.8333333333333334,1.0,0.25,0.6666666666666666,0.875,0.6666666666666666,8.359375,20.83333333333333
acute-nephritis.csv,DBRF,5,n = 2. ests = 86. criterion = gini.,1.0,1.0,0.0,1.0,1.0,1.0,2.984375,9.114583333333332
acute-nephritis.csv,DBRF,6,n = 6. ests = 24. criterion = gini.,0.75,0.75,0.25,0.6,0.75,0.5333333333333333,2.796875,9.114583333333332
acute-nephritis.csv,DBRF,7,n = 3. ests = 42. criterion = gini.,0.8333333333333334,1.0,0.3333333333333333,0.75,0.8333333333333334,0.75,2.359375,6.510416666666666
acute-nephritis.csv,DBRF,8,n = 1. ests = 9. criterion = gini.,1.0,1.0,0.0,1.0,1.0,1.0,0.234375,1.3020833333333333
acute-nephritis.csv,DBRF,9,n = 3. ests = 64. criterion = gini.,0.75,0.8571428571428571,0.4,0.75,0.7285714285714286,0.7261904761904762,3.46875,10.416666666666666
analcatdata_asbestos.csv,DBRF,0,n = 8. ests = 75. criterion = gini.,1.0,1.0,0.0,1.0,1.0,1.0,7.71875,34.72222222222222
analcatdata_asbestos.csv,DBRF,1,n = 9. ests = 93. criterion = gini.,1.0,1.0,0.0,1.0,1.0,1.0,10.78125,43.40277777777778
analcatdata_asbestos.csv,DBRF,2,n = 5. ests = 23. criterion = gini.,1.0,1.0,0.0,1.0,1.0,1.0,1.640625,8.680555555555555
analcatdata_asbestos.csv,DBRF,3,n = 2. ests = 97. criterion = gini.,1.0,1.0,0.0,1.0,1.0,1.0,2.484375,11.71875
analcatdata_asbestos.csv,DBRF,4,n = 6. ests = 36. criterion = gini.,1.0,1.0,0.0,1.0,1.0,1.0,2.90625,15.625
analcatdata_asbestos.csv,DBRF,5,n = 8. ests = 19. criterion = gini.,1.0,1.0,0.0,1.0,1.0,1.0,2.203125,13.671875
analcatdata_asbestos.csv,DBRF,6,n = 2. ests = 65. criterion = gini.,1.0,1.0,0.0,1.0,1.0,1.0,1.640625,7.8125
analcatdata_asbestos.csv,DBRF,7,n = 8. ests = 70. criterion = gini.,1.0,1.0,0.0,1.0,1.0,1.0,7.34375,35.15625
analcatdata_asbestos.csv,DBRF,8,n = 2. ests = 40. criterion = gini.,1.0,1.0,0.0,1.0,1.0,1.0,1.109375,5.859375
analcatdata_asbestos.csv,DBRF,9,n = 8. ests = 28. criterion = gini.,1.0,1.0,0.0,1.0,1.0,1.0,3.203125,15.625
analcatdata_boxing1.csv,DBRF,0,n = 2. ests = 50. criterion = gini.,1.0,1.0,0.0,1.0,1.0,1.0,1.890625,5.208333333333333
analcatdata_boxing1.csv,DBRF,1,n = 2. ests = 28. criterion = gini.,1.0,1.0,0.0,1.0,1.0,1.0,1.140625,3.90625
analcatdata_boxing1.csv,DBRF,2,n = 8. ests = 95. criterion = gini.,1.0,1.0,0.0,1.0,1.0,1.0,13.859375,40.36458333333333
analcatdata_boxing1.csv,DBRF,3,n = 4. ests = 47. criterion = gini.,1.0,1.0,0.0,1.0,1.0,1.0,3.5625,10.416666666666666
analcatdata_boxing1.csv,DBRF,4,n = 5. ests = 87. criterion = gini.,0.9166666666666666,0.8571428571428571,0.0,1.0,0.9285714285714286,0.9404761904761904,7.984375,22.135416666666664
analcatdata_boxing1.csv,DBRF,5,n = 9. ests = 21. criterion = gini.,0.6666666666666666,0.75,0.5,0.75,0.625,0.7291666666666666,3.78125,13.020833333333332
analcatdata_boxing1.csv,DBRF,6,n = 3. ests = 31. criterion = gini.,1.0,1.0,0.0,1.0,1.0,1.0,1.796875,5.208333333333333
analcatdata_boxing1.csv,DBRF,7,n = 6. ests = 28. criterion = gini.,1.0,1.0,0.0,1.0,1.0,1.0,3.328125,10.416666666666666
analcatdata_boxing1.csv,DBRF,8,n = 4. ests = 91. criterion = gini.,1.0,1.0,0.0,1.0,1.0,1.0,6.671875,20.83333333333333
analcatdata_boxing1.csv,DBRF,9,n = 8. ests = 98. criterion = gini.,1.0,1.0,0.0,1.0,1.0,1.0,14.859375,42.96875
analcatdata_broadwaymult.csv,DBRF,0,n = 9. ests = 94. criterion = gini.,1.0,1.0,0.0,1.0,1.0,1.0,39.890625,58.72844827586207
analcatdata_broadwaymult.csv,DBRF,1,n = 10. ests = 24. criterion = gini.,0.9655172413793104,0.875,0.0,1.0,0.9375,0.9094827586206896,12.15625,16.163793103448278
analcatdata_broadwaymult.csv,DBRF,2,n = 8. ests = 30. criterion = gini.,0.9655172413793104,0.9,0.0,1.0,0.95,0.9344827586206896,11.484375,13.4698275862069
analcatdata_broadwaymult.csv,DBRF,3,n = 1. ests = 84. criterion = gini.,1.0,1.0,0.0,1.0,1.0,1.0,3.78125,4.310344827586206
analcatdata_broadwaymult.csv,DBRF,4,n = 7. ests = 97. criterion = gini.,1.0,1.0,0.0,1.0,1.0,1.0,30.71875,33.94396551724138
analcatdata_broadwaymult.csv,DBRF,5,n = 2. ests = 20. criterion = gini.,1.0,1.0,0.0,1.0,1.0,1.0,1.984375,2.790178571428572
analcatdata_broadwaymult.csv,DBRF,6,n = 7. ests = 82. criterion = gini.,0.9642857142857144,0.8888888888888888,0.0,1.0,0.9444444444444444,0.9246031746031744,25.0,29.575892857142854
analcatdata_broadwaymult.csv,DBRF,7,n = 5. ests = 33. criterion = gini.,1.0,1.0,0.0,1.0,1.0,1.0,7.71875,10.044642857142858
analcatdata_broadwaymult.csv,DBRF,8,n = 8. ests = 30. criterion = gini.,0.6071428571428571,0.5833333333333334,0.375,0.5384615384615384,0.6041666666666667,0.4926739926739926,11.09375,12.276785714285715
analcatdata_broadwaymult.csv,DBRF,9,n = 9. ests = 69. criterion = gini.,0.9642857142857144,0.9090909090909092,0.0,1.0,0.9545454545454546,0.9448051948051948,27.4375,35.15625
analcatdata_germangss.csv,DBRF,0,n = 5. ests = 94. criterion = gini.,1.0,1.0,0.0,1.0,1.0,1.0,28.65625,22.65625
analcatdata_germangss.csv,DBRF,1,n = 9. ests = 11. criterion = gini.,0.7,0.7391304347826086,0.35294117647058826,0.7391304347826086,0.6930946291560102,0.6963137996219281,7.234375,5.46875
analcatdata_germangss.csv,DBRF,2,n = 2. ests = 70. criterion = gini.,1.0,1.0,0.0,1.0,1.0,1.0,8.59375,7.03125
analcatdata_germangss.csv,DBRF,3,n = 8. ests = 47. criterion = gini.,1.0,1.0,0.0,1.0,1.0,1.0,23.359375,19.53125
analcatdata_germangss.csv,DBRF,4,n = 2. ests = 8. criterion = gini.,0.65,0.631578947368421,0.3333333333333333,0.631578947368421,0.6491228070175439,0.5738919667590028,1.296875,1.171875
analcatdata_germangss.csv,DBRF,5,n = 9. ests = 72. criterion = gini.,1.0,1.0,0.0,1.0,1.0,1.0,38.90625,32.421875
analcatdata_germangss.csv,DBRF,6,n = 6. ests = 25. criterion = gini.,0.75,0.7916666666666666,0.3125,0.7916666666666666,0.7395833333333333,0.7517361111111109,9.609375,8.203125
analcatdata_germangss.csv,DBRF,7,n = 4. ests = 74. criterion = gini.,1.0,1.0,0.0,1.0,1.0,1.0,17.75,14.0625
analcatdata_germangss.csv,DBRF,8,n = 7. ests = 19. criterion = gini.,1.0,1.0,0.0,1.0,1.0,1.0,9.078125,7.8125
analcatdata_germangss.csv,DBRF,9,n = 7. ests = 47. criterion = gini.,1.0,1.0,0.0,1.0,1.0,1.0,20.828125,17.578125
analcatdata_lawsuit.csv,DBRF,0,n = 10. ests = 24. criterion = gini.,0.9629629629629628,0.6666666666666666,0.0,1.0,0.8333333333333333,0.7037037037037037,11.84375,8.680555555555555
analcatdata_lawsuit.csv,DBRF,1,n = 2. ests = 32. criterion = gini.,0.9629629629629628,1.0,0.038461538461538464,0.5,0.9807692307692308,0.5,2.828125,2.8935185185185186
