Dataset Name,Algorithm Name,Cross Validation,Hyper-Parameters Values,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training Time,Inference Time
abalon.csv,DBRF,0,ests = 69. criterion = entropy.,0.6244019138755981,0.6348399246704332,0.1908955223880597,0.6257518610421836,0.8137886134300251,0.6978549333810337,1.03125,0.11214114832535883
abalon.csv,DBRF,1,ests = 58. criterion = gini.,0.6602870813397129,0.6480502018725617,0.16701278176846826,0.6520978739280089,0.8419686826394299,0.7057851103546762,0.875,0.11214114832535883
abalon.csv,DBRF,2,ests = 37. criterion = entropy.,0.6555023923444976,0.6593525832601926,0.1726251876075808,0.6523144032151565,0.8337713286537483,0.7267871243976208,0.5625,0.07476076555023924
abalon.csv,DBRF,3,ests = 93. criterion = gini.,0.6626794258373205,0.6571581196581197,0.16828027845363613,0.6557227717497692,0.82171097437977,0.6850594177498578,1.265625,0.14952153110047847
abalon.csv,DBRF,4,ests = 41. criterion = gini.,0.6746411483253588,0.6689572984486328,0.1609974142776008,0.6726723678220881,0.8354468253591449,0.7074208080477967,0.53125,0.11214114832535883
abalon.csv,DBRF,5,ests = 72. criterion = entropy.,0.6555023923444976,0.6454822810666966,0.17167257380398318,0.6441539164192739,0.8250853477060606,0.6940474379741985,1.25,0.11214114832535883
abalon.csv,DBRF,6,ests = 63. criterion = gini.,0.6076555023923444,0.6026981806597149,0.19510623766252155,0.6021680427896349,0.8117605938776338,0.6765256680820975,0.875,0.07476076555023924
abalon.csv,DBRF,7,ests = 46. criterion = entropy.,0.6666666666666666,0.6601816332110918,0.16685423077701353,0.6699818699818699,0.8392271336561699,0.7143668979437084,0.859375,0.11241007194244604
abalon.csv,DBRF,8,ests = 75. criterion = entropy.,0.6211031175059952,0.62476488669541,0.18976572022156368,0.6228944861280078,0.8158852683879378,0.6810898947849493,1.140625,0.1498800959232614
abalon.csv,DBRF,9,ests = 80. criterion = gini.,0.6378896882494005,0.631801153698964,0.18083830006726007,0.6314326452659392,0.8288160959175318,0.7022121180471267,1.109375,0.1498800959232614
acute-inflammation.csv,DBRF,0,ests = 52. criterion = gini.,1.0,1.0,0.0,1.0,1.0,1.0,0.0625,0.0
acute-inflammation.csv,DBRF,1,ests = 5. criterion = gini.,1.0,1.0,0.0,1.0,1.0,1.0,0.015625,1.3020833333333333
acute-inflammation.csv,DBRF,2,ests = 5. criterion = gini.,1.0,1.0,0.0,1.0,1.0,1.0,0.015625,0.0
acute-inflammation.csv,DBRF,3,ests = 5. criterion = gini.,1.0,1.0,0.0,1.0,1.0,1.0,0.015625,0.0
acute-inflammation.csv,DBRF,4,ests = 5. criterion = gini.,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.3020833333333333
acute-inflammation.csv,DBRF,5,ests = 5. criterion = gini.,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
acute-inflammation.csv,DBRF,6,ests = 5. criterion = gini.,1.0,1.0,0.0,1.0,1.0,1.0,0.015625,0.0
acute-inflammation.csv,DBRF,7,ests = 5. criterion = gini.,1.0,1.0,0.0,1.0,1.0,1.0,0.015625,0.0
acute-inflammation.csv,DBRF,8,ests = 5. criterion = gini.,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.3020833333333333
acute-inflammation.csv,DBRF,9,ests = 5. criterion = gini.,1.0,1.0,0.0,1.0,1.0,1.0,0.015625,0.0
acute-nephritis.csv,DBRF,0,ests = 52. criterion = gini.,1.0,1.0,0.0,1.0,1.0,1.0,0.0625,1.3020833333333333
acute-nephritis.csv,DBRF,1,ests = 52. criterion = gini.,1.0,1.0,0.0,1.0,1.0,1.0,0.0625,0.0
acute-nephritis.csv,DBRF,2,ests = 52. criterion = gini.,1.0,1.0,0.0,1.0,1.0,1.0,0.0625,0.0
acute-nephritis.csv,DBRF,3,ests = 52. criterion = gini.,1.0,1.0,0.0,1.0,1.0,1.0,0.078125,0.0
acute-nephritis.csv,DBRF,4,ests = 52. criterion = gini.,1.0,1.0,0.0,1.0,1.0,1.0,0.0625,0.0
acute-nephritis.csv,DBRF,5,ests = 52. criterion = gini.,1.0,1.0,0.0,1.0,1.0,1.0,0.0625,1.3020833333333333
acute-nephritis.csv,DBRF,6,ests = 52. criterion = gini.,1.0,1.0,0.0,1.0,1.0,1.0,0.046875,1.3020833333333333
acute-nephritis.csv,DBRF,7,ests = 52. criterion = gini.,1.0,1.0,0.0,1.0,1.0,1.0,0.0625,0.0
acute-nephritis.csv,DBRF,8,ests = 52. criterion = gini.,1.0,1.0,0.0,1.0,1.0,1.0,0.0625,0.0
acute-nephritis.csv,DBRF,9,ests = 52. criterion = gini.,1.0,1.0,0.0,1.0,1.0,1.0,0.0625,1.3020833333333333
analcatdata_asbestos.csv,DBRF,0,ests = 5. criterion = gini.,1.0,1.0,0.0,1.0,1.0,1.0,0.015625,0.0
